Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Targeting of Uzbek dissidents,10/31/2019,Government of Uzbkeistan,"Unit 02616 of Uzbekistan???s National Security Service used FinFisher, a German spyware, to attack dissidents.",,Uzbek activists and dissidents,Uzbekistan,Civil Espionage,Civil society,https://arstechnica.com/information-technology/2019/10/kaspersky-finds-uzbekistan-hacking-opbecause-they-used-kaspersky-av/,https://www.reuters.com/article/us-uzbekistan-cyber/uzbek-spies-attacked-dissidents-with-off-the-shelf-hacking-tools-idUSKBN1WI0YL,,Kaspersky,
KINGDOM,10/12/2019,,"This threat actor, believed to be linked to Saudi Arabia, targets??Saudi dissidents and foreign journalists with NSO Group's Pegasus malware.??",,"Saudi Arabian dissidents, , Foreign journalists",Saudi Arabia,,,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,,CitizenLab,
Targeting of enterprise VPN servers from Fortinet and Pulse Secure,9/5/2019,"Believed to be the work of APT 5, also known as Manganese, and several other threat groups.",Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.,,,China,,Private sector,,,,Unknown,APT 5
"Targeting of telecom companies across Africa, Europe, and Southeast Asia",12/12/2019,Gallium,"Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",,"Telecom companies in Africa, Europe, and Southeast Asia",China,Espionage,Private sector,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,,,Microsoft,
Compromise of Amnesty International Hong Kong,4/15/2019,APTs associated with Beijing,This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.,,Amnesty International Hong Kong,China,Civil Espionage,Civil society,https://www.amnesty.org/en/latest/news/2019/04/state-sponsored-cyber-attack-hong-kong/,,,Amnesty International,
U.S. retaliation against Iran,10/16/2019,Government of the United States,The United States carried out a cyberattack against Iran designed to limit Tehran???s ability to spread propaganda in retaliation for the September 14attacks on Saudi oil facilities.,,Iran,United States,Data destruction,Government,https://www.reuters.com/article/us-usa-iran-military-cyber-exclusive/exclusive-u-s-carried-out-secret-cyber-strike-on-iran-in-wake-of-saudi-oil-attack-officials-say-idUSKBN1WV0EK,,,US government self attributed,
DarkUniverse,11/5/2019,,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",,,Russian Federation,,"Private sector, Military",https://securelist.com/darkuniverse-the-mysterious-apt-framework-27/94897/,,,Kaspersky,
Targeting of Moroccan activists,10/10/2019,Government of Morocco,Amnesty International released a report showing how Morocco???s government used the NSO Group???s Pegasus malware to target two human rights activists in Morocco.,,"Maati Monjib, an academic and activist, and Abdessadak El Bouchattaoui, a human rights lawyer",Morocco,Civil Espionage,Civil society,https://www.amnesty.org/en/latest/research/2019/10/morocco-human-rights-defenders-targeted-with-nso-groups-spyware/,,,Amnesty International,
Global hijacking of domain name system (DNS),1/9/2019,Suspected to be the work of Iranian actors.,An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.,,"United States, South Korea, Canada, Lebanon , United Arab Emirates",Iran (Islamic Republic of),Political Espionage,Private sector,https://www.wired.com/story/iran-dns-hijacking/,https://www.fireeye.com/blog/threat-research/2019/01/global-dns-hijacking-campaign-dns-record-manipulation-at-scale.html,https://blog.talosintelligence.com/2018/11/dnspionage-campaign-targets-middle-east.html,"Cisco Talos, FireEye",
Gallium,12/12/2019,,Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.,,,China,,,https://www.bleepingcomputer.com/news/security/microsoft-warns-of-gallium-threat-group-attacking-global-telcos/,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,,Microsoft,
Compromise of British infrastructure,4/2/2019,Iranian Revolutionary Guard,"A threat actor compromised the British Post Office and local government networks, stealing personal data???including email addresses and mobile phone numbers???of thousands of employees.",Confirmation   https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,British Post Office and local government networks,Iran (Islamic Republic of),Political Espionage,Government,https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,,,NCSC,
Targeting of embassies and foreign ministries in Eastern Europe and Central Asia,8/20/2019,"Believed to be the work of Sednit, also known as APT 28, Fancy Bear, and Strontium.","A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors.??",,,Russian Federation,,Government,https://www.cyberscoop.com/russia-zebrocy-eset/,https://www.welivesecurity.com/2019/09/24/no-summer-vacations-zebrocy/,,ESET ,APT 28
Targeting of European ministries,10/17/2019,the Dukes,"Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",,Ministries of foreign affairs of three European countries and an EU country embassy in the United States,Russian Federation,Political Espionage,Government,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,https://www.thedailybeast.com/the-dukes-russian-intels-cyber-unit-that-went-dark-after-dnc-hack-is-still-spying?ref=scroll,,ESET ,APT 29
Compromise of Indian nuclear power plant,11/12/2019,Lazarus Group,"Devices on a noncritical administrative network in a nuclear power plant in Tamil Nadu, India, were compromised by DTrack, a remote access Trojan (RAT) associated with the Lazarus Group.",,Noncritical devices in an Indian nuclear power plant,Korea (Democratic People's Republic of),Infrastructure Espionage,Government,https://dragos.com/blog/industry-news/assessment-of-reported-malware-infection-at-nuclear-facility/,https://usa.kaspersky.com/about/press-releases/2019_dtrack-previously-unknown-spy-tool-hits-financial-institutions-and-research-centers,https://www.washingtonpost.com/politics/2019/11/04/an-indian-nuclear-power-plant-suffered-cyberattack-heres-what-you-need-know/,"Dragos, CERT-In, Kaspersky",Lazarus Group
Attempted attack on the Democratic National Convention (DNC) during 2018 elections,1/18/2019,Suspected to be the work of the Dukes.??,The DNC alleged it was targeted in an unsuccessful cyberattack eight days after the 2018 elections in an attempted spear-phishing campaign.,,Democratic National Committee,Russian Federation,Political Espionage,Civil society,https://www.wsj.com/articles/dnc-says-russia-tried-to-hack-into-its-computer-network-days-after-2018-midterms-11547831410,https://www.axios.com/democrats-dnc-hacking-russia-0814744d-c885-411c-a73e-234699229879.html,https://www.nytimes.com/2019/01/18/technology/dnc-russian-hacking.html,DNC ,APT 29
"Targeting of over sixty universities in multiple countries, including the United States and United Kingdom",9/11/2019,Believed to be the work of Cobalt Dickens.,"A threat actor launched a phishing operation with spoofed login pages to steal the credentials of users at over sixty universities in the United States, United Kingdom, and elsewhere.",,"United States, United Kingdom, Australia, Canada, Hong Kong, Switzerland",Iran (Islamic Republic of),Misc Espionage,"Civil society, Private sector",https://www.secureworks.com/blog/cobalt-dickens-goes-back-to-school-again,https://www.cyberscoop.com/cobalt-dickens-iran-universities-hacking-secureworks/,,Secureworks,Mabna Institute
Attack on forum of Hong Kong protesters,12/4/2019,Chinese government,China???s government used its ???Great Cannon??? distributed denial of service (DDOS) system for the first time in two years to attack a forum where Hong Kong residents organized protests.,,Hong Kong protesters,China,Denial of service,"Civil society, Private sector",https://www.zdnet.com/article/china-resurrects-great-cannon-for-ddos-attacks-on-hong-kong-forum/,https://cybersecurity.att.com/blogs/labs-research/the-great-cannon-has-been-deployed-again,,AT&T,
Compromise of Bayer Pharmaceuticals,4/4/2019,Wicked Panda,"A threat actor put malicious software on Bayer's computer system but did not steal any information, as reported by the company.",,Bayer Pharmaceuticals,China,Data destruction,Private sector,https://www.cyberscoop.com/bayer-breached-china-wicked-panda/,,,German media,APT 41
Targeting of senior members of Tibetan groups,9/24/2019,Believed to be the work of Poison Carp.,"A threat actor aimed to infect mobile phones belonging to senior members of Tibetan groups, including people who worked directly for the Dalai Lama and lawmakers in Tibet's parliament. The threat actor posed as a human rights worker or journalist and contacted victims through WhatsApp. The campaign involved Android browser vulnerabilities and Android and iOS spyware. The tools appeared in similar attacks, discovered in September, carried out against China's Uighur population.",,Tibet,China,Civil Espionage,"Civil society, Government",https://www.cyberscoop.com/tibet-citizen-lab-spyware-espionage/,https://www.reuters.com/article/us-china-cyber-tibetans/chinese-hackers-who-pursued-uighurs-also-targeted-tibetans-researchers-idUSKBN1W90XN,https://citizenlab.ca/2019/09/poison-carp-tibetan-groups-targeted-with-1-click-mobile-exploits/,"CitizenLab, TibCERT",Poison Carp
Hijacking of Iranian hacking infrastructure,10/21/2019,Turla,The Russian threat actor Turla took over an Iranian espionage operation belonging to Iranian-linked APT 34 (aka Oilrig) and used it to attack a number of targets while masquerading as Iran.,,"Military, government, scientific organizations, and universities in the Middle East and across the world",Russian Federation,Political Espionage,"Military, Government, Civil society",https://www.ft.com/content/b947b46a-f342-11e9-a79c-bc9acae3b654,https://www.reuters.com/article/us-russia-cyber/hacking-the-hackers-russian-group-hijacked-iranian-spying-operation-officials-say-idUSKBN1X00AK,https://www.bbc.com/news/technology-50103378,"GCHQ, NSA, Estonian authorities, Czech authorities",Turla
"Targeting of German energy technology, chemicals, and consumer goods companies, among others",7/24/2019,Believed to be the work of Winnti.,"A threat actor used a??Trojan horse to gain??remote backdoor access to German energy technology company Siemens, chemical firm BASF, and consumer goods company Henkel. Non-German companies Roche, Lion Air, and Marriott were also targeted.",,Germany,China,Commercial Espionage,Private sector,https://www.reuters.com/article/us-germany-cyber/basf-siemens-henkel-roche-target-of-cyber-attacks-idUSKCN1UJ147,https://www.ibtimes.com/cyber-war-news-german-companies-siemens-basf-hit-alleged-chinese-cyberattacks-2808573,,German media,APT 17
